2020-08-06T14:20:56.099182 : Order Number 1, CREATED
2020-08-06T14:22:52.185037 : Order Number 1, CREATED
2020-08-06T14:25:29.727017 : Order Number 1, CREATED
2020-08-06T14:25:29.855490 : Order Number 1, CREATED
2020-08-06T14:26:17.510006 : Order Number 1, CREATED
2020-08-06T14:26:17.513145 : Order Number 1, REMOVED
2020-08-06T14:26:17.615120 : Order Number 1, CREATED
2020-08-06T14:31:45.215722 : Order Number 1, CREATED
2020-08-06T14:31:45.222296 : Order Number 1, REMOVED
2020-08-06T14:31:45.360625 : Order Number 1, CREATED
2020-08-06T14:31:45.596824 : Order Number 1, CREATED
2020-08-06T14:31:45.597571 : Order Number 1, EDITED
2020-08-06T14:32:25.550877 : Order Number 1, CREATED
2020-08-06T14:32:25.555305 : Order Number 1, REMOVED
2020-08-06T14:32:25.694361 : Order Number 1, CREATED
2020-08-06T14:32:25.901672 : Order Number 1, CREATED
2020-08-06T14:32:25.902375 : Order Number 1, EDITED
2020-08-06T14:34:06.181861 : Order Number 1, CREATED
2020-08-06T14:34:06.184914 : Order Number 1, REMOVED
2020-08-06T14:34:06.302592 : Order Number 1, CREATED
2020-08-06T14:34:06.582198 : Order Number 1, CREATED
2020-08-06T14:34:06.582763 : Order Number 1, EDITED
2020-08-06T14:42:31.271630 : Order Number 1, CREATED
2020-08-06T14:42:31.273658 : Order Number 1, REMOVED
2020-08-06T14:42:31.341777 : Order Number 1, CREATED
2020-08-06T14:42:31.558625 : Order Number 1, CREATED
2020-08-06T14:42:31.559230 : Order Number 1, EDITED
2020-08-06T14:44:09.107035 : Order Number 1, CREATED
2020-08-06T14:44:09.109602 : Order Number 1, REMOVED
2020-08-06T14:44:09.181841 : Order Number 1, CREATED
2020-08-06T14:44:09.444559 : Order Number 1, CREATED
2020-08-06T14:44:09.445097 : Order Number 1, EDITED
2020-08-06T14:51:04.340504 : Order Number 1, CREATED
2020-08-06T14:51:04.342797 : Order Number 1, REMOVED
2020-08-06T14:51:04.406497 : Order Number 1, CREATED
2020-08-06T14:51:04.637710 : Order Number 1, CREATED
2020-08-06T14:51:04.638826 : Order Number 1, EDITED
2020-08-06T14:51:50.949949 : Order Number 1, CREATED
2020-08-06T14:51:50.952196 : Order Number 1, REMOVED
2020-08-06T14:51:51.039287 : Order Number 1, CREATED
2020-08-06T14:51:51.295428 : Order Number 1, CREATED
2020-08-06T14:51:51.296299 : Order Number 1, EDITED
2020-08-06T14:54:58.649194 : Order Number 1, CREATED
2020-08-06T14:54:58.651819 : Order Number 1, REMOVED
2020-08-06T14:54:58.719199 : Order Number 1, CREATED
2020-08-06T14:54:58.949463 : Order Number 1, CREATED
2020-08-06T14:54:58.950617 : Order Number 1, EDITED
2020-08-06T14:59:49.396547 : Order Number 1, CREATED
2020-08-06T14:59:49.399018 : Order Number 1, REMOVED
2020-08-06T14:59:49.463183 : Order Number 1, CREATED
2020-08-06T14:59:49.737949 : Order Number 1, CREATED
2020-08-06T14:59:49.738958 : Order Number 1, EDITED
2020-08-06T15:01:25.676910 : Order Number 1, CREATED
2020-08-06T15:01:25.681104 : Order Number 1, REMOVED
2020-08-06T15:01:25.846141 : Order Number 1, CREATED
2020-08-06T15:01:26.229816 : Order Number 1, CREATED
2020-08-06T15:01:26.230464 : Order Number 1, EDITED
2020-08-06T16:30:42.683752400 : Order Number 1, CREATED
2020-08-06T16:30:42.694754600 : Order Number 1, REMOVED
2020-08-06T16:30:42.766765500 : Order Number 1, CREATED
2020-08-06T16:30:42.997813600 : Order Number 1, CREATED
2020-08-06T16:30:43.001799600 : Order Number 1, EDITED
